FirstName, LastName, Email, Clarkson, SUNYPotsdam, SLU, Gender, Resturaunt, DateSubmitted
Mic,Fritz,true,false,false,false,Male,Sergies,"April 08 2014 10:58:09"
Mic,Fritz,true,false,false,false,Male,Sergies,"April 08 2014 11:01:39"
Mic,Fritz,true,false,false,false,Male,Sergies,"April 08 2014 11:01:42"
Mic,Fritz,true,false,false,false,Male,Sergies,"April 08 2014 11:01:45"
Michael,f,true,false,false,false,Male,"Hot Tomales","April 10 2014 19:15:41"
sdf,sdf,true,false,false,false,Male,"Hot Tomales","April 16 2014 18:38:16"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 18:50:08"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:18"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:21"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:22"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:22"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:22"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:23"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:23"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:23"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:24"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:24"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:24"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:24"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:24"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:25"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:25"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:25"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:25"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:26"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:26"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:26"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:26"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:27"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:27"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:27"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:27"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:28"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:28"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:28"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:28"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:29"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:29"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:29"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:30"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:32"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:33"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:33"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:33"
Peanut,BUtter,true,true,true,true,Female,Sergies,"April 16 2014 19:00:33"
